"POINT(-74.000120 40.730578)"
"POINT(-73.985587 40.730848)"
"POINT(-73.997358 40.714317)"
"POINT(-74.009240 40.720117)"
"POINT(-73.968665 40.756023)"
"POINT(-73.975070 40.746000)"
"POINT(-73.975670 40.780330)"
"POINT(-73.989267 40.750833)"
"POINT(-73.955777 40.775412)"
"POINT(-73.997112 40.714520)"
"POINT(-73.972697 40.753675)"
"POINT(-73.990045 40.756583)"
"POINT(-74.000678 40.744452)"
"POINT(-73.977798 40.747110)"
"POINT(-73.991910 40.744027)"
"POINT(-73.958910 40.771885)"
"POINT(-73.953458 40.767428)"
"POINT(-73.989795 40.726315)"
"POINT(-73.980227 40.765775)"
"POINT(-73.988067 40.739268)"
"POINT(-73.961552 40.765168)"
"POINT(-73.974527 40.756002)"
"POINT(-73.949282 40.775810)"
"POINT(-73.993313 40.722333)"
"POINT(-73.984347 40.734357)"
"POINT(-74.007593 40.725637)"
"POINT(-73.988048 40.764862)"
"POINT(-74.009570 40.739660)"
"POINT(-74.006775 40.748925)"
"POINT(-73.978622 40.754308)"
"POINT(-73.989647 40.733477)"
"POINT(-73.966337 40.772967)"
"POINT(-74.004603 40.730300)"
"POINT(-73.998802 40.734042)"
"POINT(-73.983330 40.741127)"
"POINT(-74.003337 40.728903)"
"POINT(-73.991965 40.718415)"
"POINT(-73.973910 40.764748)"
"POINT(-74.008865 40.725955)"
"POINT(-73.985798 40.743775)"
"POINT(-73.978720 40.744880)"
"POINT(-73.978087 40.777092)"
"POINT(-73.989955 40.718763)"
"POINT(-73.976710 40.736287)"
"POINT(-73.977377 40.753757)"
"POINT(-73.988513 40.737298)"
"POINT(-73.982820 40.731427)"
"POINT(-73.985350 40.759670)"
"POINT(-73.980528 40.775010)"
"POINT(-73.977073 40.779235)"
"POINT(-73.987305 40.724578)"
"POINT(-73.972125 40.747318)"
"POINT(-73.986935 40.726788)"
"POINT(-74.002912 40.728217)"
"POINT(-73.991408 40.726932)"
"POINT(-74.005700 40.726773)"
"POINT(-73.958357 40.778702)"
"POINT(-74.004817 40.718905)"
"POINT(-73.990852 40.750100)"
"POINT(-73.955565 40.777787)"
"POINT(-73.968102 40.757095)"
"POINT(-73.989060 40.734717)"
"POINT(-73.985180 40.734943)"
"POINT(-73.981703 40.746840)"
"POINT(-73.983622 40.725835)"
"POINT(-73.991725 40.744422)"
"POINT(-73.984660 40.768115)"
"POINT(-73.968980 40.758253)"
"POINT(-73.955760 40.776287)"
"POINT(-73.976420 40.735407)"
"POINT(-73.969467 40.758747)"
"POINT(-73.978267 40.777718)"
"POINT(-73.979102 40.740842)"
"POINT(-73.995748 40.736830)"
"POINT(-73.962760 40.761812)"
"POINT(-73.985493 40.731560)"
"POINT(-74.000362 40.730443)"
"POINT(-73.991600 40.727272)"
"POINT(-74.003003 40.744185)"
"POINT(-73.977800 40.746052)"
"POINT(-73.992378 40.759047)"
"POINT(-73.980817 40.741965)"
"POINT(-74.006402 40.736160)"
"POINT(-73.992380 40.727485)"
"POINT(-73.983207 40.726387)"
"POINT(-73.990195 40.761837)"
"POINT(-73.985300 40.737382)"
"POINT(-73.973375 40.743913)"
"POINT(-73.988900 40.726902)"
"POINT(-73.976928 40.779074)"
